file,total,average,fastest,slowest,requests_per_sec,size_request,p50,p75,p90,p95,p99
hey_result_green_apis_nesgnas_uk_persons_1.txt,5.6715,5.5489,5.1800,5.6643,176.3207,69.0000,5.5558,5.6074,5.6339,5.6431,5.6568
hey_result_green_apis_nesgnas_uk_persons_2.txt,5.4674,5.1864,4.7622,5.4622,182.9007,69.0000,5.2116,5.3666,5.4112,5.4211,5.4557
hey_result_green_apis_nesgnas_uk_persons_3.txt,5.2353,5.0710,4.3777,5.2286,191.0095,69.0000,5.1257,5.1751,5.2033,5.2151,5.2226
hey_result_green_apis_nesgnas_uk_persons_4.txt,5.3336,5.1915,4.6157,5.3281,187.4913,69.0000,5.2501,5.2976,5.3157,5.3227,5.3277
hey_result_green_apis_nesgnas_uk_persons_5.txt,5.2751,5.0874,2.8154,5.2719,189.5716,69.0000,5.1364,5.2017,5.2336,5.2396,5.2686
hey_result_green_apis_nesgnas_uk_persons_6.txt,5.5377,5.2321,4.2278,5.5160,180.5795,69.0000,5.3956,5.4317,5.4807,5.5010,5.5144
hey_result_green_apis_nesgnas_uk_persons_7.txt,5.0532,4.6023,2.7510,5.0474,197.8946,69.0000,4.8880,4.9846,5.0210,5.0348,5.0448
hey_result_green_apis_nesgnas_uk_persons_8.txt,5.2293,4.5540,1.5441,5.2231,191.2319,69.0000,5.0085,5.1504,5.1741,5.1853,5.2097
hey_result_green_apis_nesgnas_uk_persons_9.txt,5.4878,5.3078,4.2276,5.4814,182.2212,69.0000,5.3824,5.4259,5.4528,5.4611,5.4772
hey_result_green_apis_nesgnas_uk_persons_10.txt,5.2864,5.0848,4.1458,5.2790,189.1657,69.0000,5.1581,5.2326,5.2638,5.2678,5.2720
hey_result_green_apis_nesgnas_uk_persons_11.txt,5.3479,5.1734,4.6897,5.3403,186.9879,69.0000,5.2598,5.2882,5.3128,5.3256,5.3364
hey_result_green_apis_nesgnas_uk_persons_12.txt,5.3738,5.2221,4.7611,5.3710,186.0875,69.0000,5.2715,5.3208,5.3417,5.3473,5.3673
hey_result_green_apis_nesgnas_uk_persons_13.txt,5.3122,5.0380,4.5128,5.2913,188.2470,69.0000,5.0933,5.1764,5.2147,5.2640,5.2844
hey_result_green_apis_nesgnas_uk_persons_14.txt,5.2748,4.9048,4.3980,5.2640,189.5817,69.0000,4.9437,5.0043,5.0350,5.0619,5.0743
hey_result_green_apis_nesgnas_uk_persons_15.txt,5.1729,4.8538,3.9790,5.1632,193.3136,69.0000,4.8917,4.9711,4.9958,5.0127,5.0199
hey_result_green_apis_nesgnas_uk_persons_16.txt,5.1096,4.8374,4.0937,5.0995,195.7096,69.0000,5.0056,5.0591,5.0781,5.0807,5.0875
hey_result_green_apis_nesgnas_uk_persons_17.txt,5.2256,5.0166,4.0630,5.2188,191.3663,69.0000,5.0672,5.1567,5.1990,5.2086,5.2162
hey_result_green_apis_nesgnas_uk_persons_18.txt,5.5362,5.3923,5.0902,5.5318,180.6303,69.0000,5.4295,5.4789,5.5057,5.5161,5.5247
hey_result_green_apis_nesgnas_uk_persons_19.txt,5.3314,5.1650,4.1071,5.3227,187.5684,69.0000,5.2146,5.2628,5.2835,5.2973,5.3184
hey_result_green_apis_nesgnas_uk_persons_20.txt,5.6066,5.3009,4.6401,5.5920,178.3617,69.0000,5.3853,5.4687,5.5314,5.5381,5.5531
hey_result_green_apis_nesgnas_uk_persons_21.txt,5.2561,5.0804,4.4676,5.2528,190.2569,69.0000,5.1328,5.1690,5.2082,5.2237,5.2397
hey_result_green_apis_nesgnas_uk_persons_22.txt,0.7942,0.6160,0.2890,0.7854,1259.0845,69.0000,0.6151,0.6993,0.7587,0.7787,0.7845
hey_result_green_apis_nesgnas_uk_persons_23.txt,8.5612,8.4177,7.6502,8.5559,116.8054,69.0000,8.4615,8.4902,8.5202,8.5421,8.5542
hey_result_green_apis_nesgnas_uk_persons_24.txt,4.8102,3.2013,2.4603,4.7869,207.8920,69.0000,2.8842,3.0484,4.7751,4.7786,4.7827
hey_result_green_apis_nesgnas_uk_persons_25.txt,5.1543,4.8567,3.9097,5.1511,194.0115,69.0000,4.9117,4.9693,5.0845,5.1306,5.1442
hey_result_green_apis_nesgnas_uk_persons_26.txt,5.2673,5.1135,4.3919,5.2636,189.8523,69.0000,5.1837,5.2162,5.2368,5.2488,5.2581
hey_result_green_apis_nesgnas_uk_persons_27.txt,5.6405,5.3967,4.7715,5.6269,177.2885,69.0000,5.4682,5.5453,5.6003,5.6060,5.6154
hey_result_green_apis_nesgnas_uk_persons_28.txt,5.3445,5.1609,4.5875,5.3357,187.1088,69.0000,5.2034,5.2834,5.3017,5.3089,5.3166
hey_result_green_apis_nesgnas_uk_persons_29.txt,5.2185,4.9830,4.1212,5.2120,191.6274,69.0000,5.0447,5.1143,5.1640,5.1729,5.1966
hey_result_green_apis_nesgnas_uk_persons_30.txt,5.4044,5.2403,4.8814,5.3928,185.0360,69.0000,5.2931,5.3322,5.3689,5.3774,5.3867
hey_result_green_apis_nesgnas_uk_persons_31.txt,5.0687,4.8922,4.1026,5.0604,197.2904,69.0000,4.9507,5.0087,5.0422,5.0501,5.0572
hey_result_green_apis_nesgnas_uk_persons_32.txt,5.1306,4.9884,3.7038,5.1163,194.9089,69.0000,5.0441,5.0665,5.0960,5.0983,5.1027
hey_result_green_apis_nesgnas_uk_persons_33.txt,5.4263,5.2261,4.3411,5.4229,184.2880,69.0000,5.2797,5.3655,5.3881,5.3990,5.4218
hey_result_green_apis_nesgnas_uk_persons_34.txt,5.2181,4.9187,2.7795,5.1911,191.6407,69.0000,5.0750,5.1460,5.1679,5.1736,5.1805
hey_result_green_apis_nesgnas_uk_persons_35.txt,5.0428,4.9114,4.4591,5.0362,198.3016,69.0000,4.9349,4.9808,5.0002,5.0112,5.0320
hey_result_green_apis_nesgnas_uk_persons_36.txt,5.1497,4.9842,4.6238,5.1433,194.1844,69.0000,5.0402,5.0739,5.0976,5.1042,5.1105
hey_result_green_apis_nesgnas_uk_persons_37.txt,5.5889,5.3224,4.1537,5.5773,178.9273,69.0000,5.4781,5.5304,5.5610,5.5651,5.5716
hey_result_green_apis_nesgnas_uk_persons_38.txt,5.1947,4.9091,4.4031,5.1828,192.5043,69.0000,5.0403,5.0903,5.1505,5.1604,5.1752
hey_result_green_apis_nesgnas_uk_persons_39.txt,5.4148,5.1413,4.4011,5.4015,184.6798,69.0000,5.1861,5.3111,5.3750,5.3834,5.3969
hey_result_green_apis_nesgnas_uk_persons_40.txt,5.4508,5.0485,2.4327,5.4286,183.4589,69.0000,5.2474,5.3771,5.4068,5.4136,5.4255
hey_result_green_apis_nesgnas_uk_persons_41.txt,5.2141,4.5053,2.6440,5.2080,191.7859,69.0000,4.3961,5.0646,5.1203,5.1271,5.2056
hey_result_green_apis_nesgnas_uk_persons_42.txt,5.1896,5.0176,4.4559,5.1782,192.6915,69.0000,5.1038,5.1290,5.1536,5.1603,5.1685
hey_result_green_apis_nesgnas_uk_persons_43.txt,5.1799,4.9850,3.2752,5.1732,193.0529,69.0000,5.0808,5.1309,5.1569,5.1607,5.1726
hey_result_green_apis_nesgnas_uk_persons_44.txt,5.3513,5.1114,3.4949,5.3483,186.8691,69.0000,5.2441,5.3077,5.3248,5.3346,5.3457
hey_result_green_apis_nesgnas_uk_persons_45.txt,5.4471,5.1561,4.5211,5.4414,183.5824,69.0000,5.2305,5.3026,5.3236,5.3339,5.3422
hey_result_green_apis_nesgnas_uk_persons_46.txt,5.2473,4.9199,1.1156,5.2393,190.5739,69.0000,5.0435,5.1767,5.1848,5.1934,5.2333
hey_result_green_apis_nesgnas_uk_persons_47.txt,5.4420,5.2953,4.8125,5.4370,183.7561,69.0000,5.3520,5.3875,5.4142,5.4228,5.4313
hey_result_green_apis_nesgnas_uk_persons_48.txt,5.2415,4.9051,3.9594,5.2267,190.7846,69.0000,4.9706,5.0376,5.0900,5.1913,5.2232
hey_result_green_apis_nesgnas_uk_persons_49.txt,5.4397,5.2197,4.5983,5.4328,183.8350,69.0000,5.2741,5.3410,5.4033,5.4199,5.4240
hey_result_green_apis_nesgnas_uk_persons_50.txt,5.0483,4.7296,4.4300,5.0294,198.0855,69.0000,4.7812,4.8490,4.8904,4.8964,4.9185
hey_result_api_nesgnas_uk_persons_1.txt,5.3669,5.2265,4.6011,5.3588,186.3276,69.0000,5.3004,5.3333,5.3465,5.3489,5.3530
hey_result_api_nesgnas_uk_persons_2.txt,5.2359,5.1000,4.4792,5.2312,190.9893,69.0000,5.1581,5.2075,5.2149,5.2183,5.2285
hey_result_api_nesgnas_uk_persons_3.txt,5.1723,4.9156,4.3216,5.1663,193.3391,69.0000,4.9536,5.0386,5.0714,5.0773,5.0942
hey_result_api_nesgnas_uk_persons_4.txt,5.5937,5.4652,5.1724,5.5916,178.7713,69.0000,5.5094,5.5480,5.5668,5.5769,5.5900
hey_result_api_nesgnas_uk_persons_5.txt,5.2870,5.1536,3.6406,5.2831,189.1421,69.0000,5.2083,5.2493,5.2632,5.2724,5.2822
hey_result_api_nesgnas_uk_persons_6.txt,6.3505,5.3193,4.8488,6.3445,157.4679,69.0000,5.3261,5.3811,5.4070,6.0856,6.3336
hey_result_api_nesgnas_uk_persons_7.txt,5.4599,5.3335,4.8955,5.4545,183.1540,69.0000,5.3765,5.4129,5.4275,5.4421,5.4534
hey_result_api_nesgnas_uk_persons_8.txt,5.3418,5.1097,4.6475,5.3360,187.2020,69.0000,5.1528,5.2227,5.2820,5.2860,5.3216
hey_result_api_nesgnas_uk_persons_9.txt,3.6140,3.4513,2.3988,3.5941,276.7046,69.0000,3.4941,3.5444,3.5636,3.5709,3.5759
hey_result_api_nesgnas_uk_persons_10.txt,5.8050,5.2802,3.3174,5.7970,172.2666,69.0000,5.6684,5.7481,5.7699,5.7797,5.7865
hey_result_api_nesgnas_uk_persons_11.txt,5.4256,5.1213,4.8076,5.4201,184.3101,69.0000,5.1534,5.2248,5.2747,5.3332,5.4050
hey_result_api_nesgnas_uk_persons_12.txt,5.1427,4.7849,4.0391,5.1376,194.4504,69.0000,4.9222,4.9975,5.0261,5.0330,5.0618
hey_result_api_nesgnas_uk_persons_13.txt,5.6037,5.3795,4.7432,5.5932,178.4549,69.0000,5.4499,5.5431,5.5658,5.5711,5.5767
hey_result_api_nesgnas_uk_persons_14.txt,5.2822,5.1157,4.6469,5.2687,189.3133,69.0000,5.1707,5.2346,5.2530,5.2603,5.2684
hey_result_api_nesgnas_uk_persons_15.txt,5.2557,5.1274,4.5128,5.2454,190.2708,69.0000,5.1778,5.2094,5.2252,5.2309,5.2404
