file,total,average,fastest,slowest,requests_per_sec,size_request,p50,p75,p90,p95,p99
hey_result_api_nesgnas_uk_persons_16.txt,5.4180,4.8941,3.6386,5.3977,184.5699,69.0000,5.2271,5.2819,5.3511,5.3643,5.3947
hey_result_api_nesgnas_uk_persons_17.txt,5.2620,5.1173,4.7463,5.2573,190.0427,69.0000,5.1700,5.2130,5.2382,5.2432,5.2526
hey_result_api_nesgnas_uk_persons_18.txt,6.1878,5.2780,4.8568,6.1794,161.6080,69.0000,5.2663,5.4281,5.4727,5.5162,6.1133
hey_result_api_nesgnas_uk_persons_19.txt,5.3268,4.9256,4.3736,5.3194,187.7284,69.0000,5.0219,5.0729,5.1180,5.1270,5.1411
hey_result_api_nesgnas_uk_persons_20.txt,5.3382,5.1673,4.9025,5.3191,187.3303,69.0000,5.2013,5.2620,5.2942,5.3029,5.3118
hey_result_api_nesgnas_uk_persons_21.txt,5.2718,5.1222,4.7487,5.2677,189.6884,69.0000,5.1930,5.2236,5.2464,5.2504,5.2573
hey_result_api_nesgnas_uk_persons_22.txt,5.3983,5.2539,4.8608,5.3924,185.2444,69.0000,5.3075,5.3387,5.3730,5.3848,5.3907
hey_result_api_nesgnas_uk_persons_23.txt,5.4439,4.6388,1.4366,5.4143,183.6914,69.0000,5.1062,5.2909,5.3836,5.4077,5.4112
hey_result_api_nesgnas_uk_persons_24.txt,5.6296,5.4428,4.7308,5.6170,177.6329,69.0000,5.5067,5.5668,5.5950,5.6003,5.6117
hey_result_api_nesgnas_uk_persons_25.txt,5.7793,5.5488,5.2154,5.7716,173.0313,69.0000,5.5879,5.6404,5.6997,5.7425,5.7591
hey_result_api_nesgnas_uk_persons_26.txt,5.7406,5.5364,4.6744,5.7319,174.1966,69.0000,5.6090,5.6561,5.7020,5.7105,5.7246
hey_result_api_nesgnas_uk_persons_27.txt,4.9369,4.4157,4.1093,4.9310,202.5557,69.0000,4.4551,4.5241,4.5732,4.5813,4.5930
hey_result_api_nesgnas_uk_persons_28.txt,5.5460,5.1656,4.2171,5.5257,180.3104,69.0000,5.2686,5.3947,5.4385,5.4731,5.5077
hey_result_api_nesgnas_uk_persons_29.txt,5.3754,5.0530,4.5598,5.3687,186.0324,69.0000,5.0996,5.1900,5.2235,5.2702,5.2772
hey_result_api_nesgnas_uk_persons_30.txt,18.3954,10.9530,4.7177,18.3829,54.3613,69.0000,5.4287,17.3394,17.8674,18.3606,18.3784
hey_result_api_nesgnas_uk_persons_31.txt,5.2283,4.9328,0.7023,5.2137,191.2651,69.0000,5.0188,5.1035,5.1892,5.1998,5.2072
hey_result_api_nesgnas_uk_persons_32.txt,5.5906,5.4116,4.5633,5.5805,178.8712,69.0000,5.4649,5.5166,5.5384,5.5513,5.5729
hey_result_api_nesgnas_uk_persons_33.txt,5.9299,5.0335,4.2277,5.9244,168.6370,69.0000,4.9851,5.0871,5.5826,5.7665,5.9175
hey_result_api_nesgnas_uk_persons_34.txt,5.3755,5.1523,3.9741,5.3655,186.0279,69.0000,5.2765,5.3116,5.3337,5.3471,5.3634
hey_result_api_nesgnas_uk_persons_35.txt,5.3535,5.0246,4.4461,5.3217,186.7950,69.0000,5.0798,5.2274,5.2759,5.2970,5.3144
hey_result_api_nesgnas_uk_persons_36.txt,5.4045,5.1188,3.1977,5.3988,185.0315,69.0000,5.2094,5.2679,5.3112,5.3175,5.3214
hey_result_api_nesgnas_uk_persons_37.txt,5.4962,5.1367,4.7999,5.4938,181.9426,69.0000,5.2060,5.2483,5.2729,5.2808,5.2901
hey_result_api_nesgnas_uk_persons_38.txt,5.5269,5.0986,4.7498,5.5147,180.9348,69.0000,5.1413,5.2178,5.2493,5.2731,5.5051
hey_result_api_nesgnas_uk_persons_39.txt,5.4676,5.2894,4.2689,5.4571,182.8965,69.0000,5.3776,5.4129,5.4348,5.4396,5.4479
hey_result_api_nesgnas_uk_persons_40.txt,5.0310,4.6609,4.2736,5.0223,198.7660,69.0000,4.6943,4.7916,4.8535,4.8861,4.9196
hey_result_api_nesgnas_uk_persons_41.txt,5.4981,5.2943,4.2472,5.4894,181.8796,69.0000,5.3968,5.4380,5.4639,5.4672,5.4709
hey_result_api_nesgnas_uk_persons_42.txt,18.4488,11.4870,4.8157,18.4349,54.2040,69.0000,15.8947,16.9271,17.9414,17.9510,18.4335
hey_result_api_nesgnas_uk_persons_43.txt,5.6392,5.3101,4.7315,5.6258,177.3302,69.0000,5.4084,5.4677,5.5006,5.5094,5.5198
hey_result_api_nesgnas_uk_persons_44.txt,5.4948,5.1313,4.7140,5.4872,181.9912,69.0000,5.1863,5.3085,5.3320,5.3595,5.3733
hey_result_api_nesgnas_uk_persons_45.txt,5.2077,4.7680,3.6672,5.1980,192.0224,69.0000,5.0043,5.1256,5.1681,5.1829,5.1892
hey_result_api_nesgnas_uk_persons_46.txt,5.3821,4.8624,0.3601,5.3692,185.8009,69.0000,5.0124,5.1262,5.1573,5.1612,5.1907
hey_result_api_nesgnas_uk_persons_47.txt,5.1328,4.7044,4.1987,5.0892,194.8243,69.0000,4.7554,4.8373,4.9032,4.9059,4.9079
hey_result_api_nesgnas_uk_persons_48.txt,6.3079,5.2843,4.5927,6.3059,158.5303,69.0000,5.3107,5.3823,5.4200,5.4608,6.2919
hey_result_api_nesgnas_uk_persons_49.txt,5.2846,5.0200,4.2555,5.2779,189.2274,69.0000,5.1618,5.2215,5.2525,5.2627,5.2753
hey_result_api_nesgnas_uk_persons_50.txt,4.7963,4.6134,4.3357,4.7916,208.4957,69.0000,4.6408,4.7337,4.7662,4.7730,4.7890
